product_id,category,Product Name,product_sku,product_retail_price,product_cost,product_weight,recyclable,low_fat
1,Washington ,Berry Juice,90748583674,2.85,0.94,8.39,,
2,Washington ,Mango Drink,96516502499,0.74,0.26,7.42,,1
3,Washington ,Strawberry Drink,58427771925,0.83,0.4,13.1,1,1
4,Washington ,Cream Soda,64412155747,3.64,1.64,10.6,1,
5,Washington ,Diet Soda,85561191439,2.19,0.77,6.66,1,
6,Washington ,Cola,29804642796,1.15,0.37,15.8,,
7,Washington ,Diet Cola,20191444754,2.61,0.91,18,1,
8,Washington ,Orange Juice,89770532250,2.59,0.8,8.97,1,
9,Washington ,Cranberry Juice,49395100474,2.42,0.77,7.14,,
10,Washington ,Apple Juice,22114084362,1.42,0.5,8.13,1,
11,Washington ,Apple Drink,17074288725,3.51,1.65,20,,1
12,Jeffers ,Oatmeal,49031038880,1.54,0.69,8.9,1,1
13,Jeffers ,Corn Puffs,13229009509,2.65,1.27,10.4,,
14,Jeffers ,Wheat Puffs,92942813038,1.93,0.71,21.6,1,1
15,Jeffers ,Grits,26378549933,2.29,1.08,21.3,,1
16,Blue ,Canned Beets,62908702492,3.83,1.72,21.2,,1
17,Blue ,Creamed Corn,79484335780,2.99,1.5,6.91,1,1
18,Blue ,Canned String Beans,85252254605,2.67,1.17,12.6,1,
19,Blue ,Chicken Soup,47163524031,3.19,1.47,15.2,1,1
20,Blue ,Canned Yams,22169209122,2.78,0.92,21.3,,1
21,Blue ,Vegetable Soup,43318244814,2.33,0.89,19.7,,1
22,Blue ,Canned Tomatos,77561696171,2.29,0.98,15,,
23,Blue ,Noodle Soup,32829326987,1.75,0.56,10.6,1,
24,Blue ,Regular Ramen Soup,12408414483,1.73,0.52,12.8,,1
25,Blue ,Chicken Noodle Soup,62032982707,1.55,0.7,9.48,1,1
26,Blue ,Turkey Noodle Soup,34751966595,0.88,0.37,16.5,1,1
27,Blue ,Beef Soup,29712170958,2.65,1.11,11.2,,1
28,Blue ,Canned Peas,61668921113,3.91,1.64,21.9,1,
29,Blue ,Chicken Ramen Soup,25866891741,1.78,0.62,17.1,,
30,Blue ,Canned Tuna in Water,93159278035,1.41,0.45,9.71,1,
31,Blue ,Canned Tuna in Oil,50497145056,1.55,0.74,17.2,1,
32,Blue ,Large Canned Shrimp,87027297616,2.86,0.89,8.86,,
33,Blue ,Fancy Canned Anchovies,44581629633,1.36,0.49,8.27,,1
34,Blue ,Fancy Canned Clams,50349548459,1.69,0.78,16.7,1,1
35,Blue ,Fancy Canned Oysters,36162948012,2.21,1.02,18.2,,1
36,Blue ,Fancy Canned Sardines,11168633103,1.8,0.88,14,1,
37,Blue ,Rice Soup,32317668795,1.59,0.48,21,1,1
38,Green ,Canned Mixed Fruit,42658990025,1.31,0.62,14,1,1
39,Green ,Canned Peaches,33045791983,3.11,1.09,17.5,1,
40,King ,Rosy Sunglasses,36527009606,0.99,0.47,11.7,1,
41,Queen ,Eyeglass Screwdriver,86151577830,0.89,0.37,8.61,1,
42,Queen ,City Map,89849260449,2.82,1.04,13.6,1,
43,Club ,Low Fat Cottage Cheese,18711594939,1.67,0.55,17.7,1,
44,Club ,Low Fat Sour Cream,50668345093,2.93,1.08,10.7,,1
45,Club ,Sour Cream,14866315722,0.53,0.25,13.6,,
46,Club ,Jack Cheese,82158702015,3.44,1.38,14.4,1,
47,Club ,Muenster Cheese,39496569037,2.57,1.23,17.8,1,
48,Club ,String Cheese,76026721596,1.88,0.79,6.31,1,1
49,Club ,Low Fat String Cheese,68700224757,3.38,1.42,17,,
50,Club ,Havarti Cheese,74468143582,3.95,1.94,9.95,,1
51,Club ,Head Cheese,24898700118,1.47,0.44,8.41,,1
52,Club ,Cheese Spread,66002255082,2.17,0.91,14.5,1,1
53,Club ,Sharp Cheddar Cheese,21053420901,3.61,1.77,18.8,1,1
54,Club ,Mild Cheddar Cheese,31394742131,2.93,1.35,9.58,,1
55,Club ,Large Curd Cottage Cheese,21781544089,3.5,1.51,14.3,1,
56,Club ,2% Milk,25262761712,0.71,0.28,20.6,1,
57,Club ,Buttermilk,74887329936,0.61,0.29,20.1,,
58,Club ,Chocolate Milk,23704183697,2.31,0.69,15.5,,
59,Club ,1% Milk,42566518187,1.4,0.55,18.8,,
60,Club ,Whole Milk,50621138215,2.66,1.2,7.03,,
61,Club ,Strawberry Yogurt,93602067828,0.74,0.37,13.4,,1
62,Club ,Blueberry Yogurt,70894454121,3.82,1.72,14.1,,1
63,Red ,Chicken Hot Dogs,28232321143,2.95,0.91,20.3,1,1
64,Red ,Pimento Loaf,64762473702,1.61,0.58,13.2,1,
65,Red ,Beef Bologna,57435976862,3.76,1.54,10.3,,1
66,Red ,Low Fat Bologna,63203895688,3.44,1.62,11.9,1,1
67,Red ,Turkey Hot Dogs,25115165114,1.86,0.91,6.15,,1
68,Red ,Foot-Long Hot Dogs,90120850205,3.56,1.6,16,1,1
69,Red ,Low Fat Cole Slaw,21269885897,3.1,1.09,16.7,1,1
70,Red ,Cole Slaw,42828248143,0.97,0.42,8.83,,
71,Red ,Roasted Chicken,33215050101,2.76,1.27,21.8,,
72,Red ,Corned Beef,36696267724,2.74,1.01,20.2,,1
73,Red ,Sliced Turkey,86320835947,2.33,0.82,19.1,,
74,Red ,Sliced Ham,35137689709,1.57,0.61,6.13,,1
75,Red ,Potato Salad,54000024199,0.68,0.24,16.9,,1
76,Red ,Sliced Chicken,62054644227,1.69,0.69,18.1,,1
77,Blue ,Small Brown Eggs,50154744982,2.8,1.12,14.7,,1
78,Blue ,Large Brown Eggs,27447131276,2.19,0.92,19.5,1,1
79,Blue ,Small Eggs,39665827155,1.32,0.54,12.4,,1
80,Blue ,Large Eggs,76195979714,3.63,1.42,17.1,,
81,Blue ,Egg Substitute,68869482874,2.13,0.87,17,,
82,Golden ,Low Fat Waffles,74637401700,2.7,1.19,21.3,,1
83,Golden ,Orange Popsicles,36548671126,3.88,1.63,18,1,
84,Golden ,Frozen Chicken Breast,11554356217,2.81,1.29,14.6,,
85,Golden ,Frozen Pancakes,32703391909,1.36,0.54,7.12,,1
86,Golden ,Low Fat French Fries,66946843266,2.97,1.4,14.2,,1
87,Golden ,Frozen Sausage Pizza,57333645224,1.78,0.71,19,1,
88,Golden ,Blueberry Waffles,25695691704,0.86,0.34,7.86,1,
89,Golden ,Fajita French Fries,51418129801,1.59,0.62,20.5,,
90,Golden ,Waffles,24137113690,0.77,0.24,10.2,,1
91,Golden ,Frozen Pepperoni Pizza,42999448180,2.68,1.34,12.8,1,1
92,Golden ,Frozen Cheese Pizza,51054068207,0.83,0.31,17.1,1,
93,Golden ,Frozen Mushroom Pizza,39154168963,0.96,0.37,16.4,1,
94,Golden ,Apple Cinnamon Waffles,16446555256,0.62,0.25,7.9,1,
95,Golden ,Frozen Carrots,39882292151,1.46,0.69,8.58,1,
96,Golden ,Turkey TV Dinner,10314574837,2.11,0.91,10.7,1,1
97,Golden ,Chicken TV Dinner,57605234980,0.59,0.28,18.3,1,
98,Golden ,Beef TV Dinner,63373153805,1.83,0.79,9.43,,
99,Golden ,Pancake Mix,25284423232,2.36,1.09,8.83,1,1
100,Golden ,Grape Popsicles,90290108323,1.95,0.62,9.49,1,1
101,Golden ,Home Style French Fries,21439144015,0.72,0.26,20.6,,1
102,Golden ,Lime Popsicles,55682595372,2.45,0.81,18.2,,1
103,Golden ,Ice Cream,46069397330,0.95,0.41,9.81,1,
104,Golden ,Ice Cream Sandwich,49550614953,3.89,1.59,12.3,,1
105,Golden ,Frozen Cauliflower,75273053050,3.72,1.67,6.16,1,
106,Golden ,Frozen Broccoli,36774995923,2.96,1.39,14.6,1,1
107,Golden ,Frozen Corn,55637330412,1.81,0.8,19.9,,
108,Golden ,Frozen Peas,63691950440,2.19,1.01,11.9,1,1
109,Golden ,Popsicles,51792051196,3.95,1.38,19,,
110,Golden ,Frozen Chicken Thighs,29084437489,2.35,0.73,12,1,1
111,Golden ,Frozen Chicken Wings,52520174384,3.48,1.25,15.4,1,1
112,Golden ,Lemon Popsicles,89050326943,1.13,0.41,9.35,,1
113,Faux ,Silky Smooth Hair Conditioner,15625960230,2.29,1.05,19.7,1,
114,Faux ,Tartar Control Toothpaste,21393879055,0.92,0.43,20.6,,
115,Faux ,Whitening Toothpast,14283847212,0.65,0.2,20.6,1,
116,Faux ,Toothpaste,79289532303,3.97,1.51,8.33,1,
117,Faux ,Deodorant,10438567996,2.75,1.29,9.24,,
118,Faux ,Conditioning Shampoo,44682019352,1.48,0.46,8.27,1,
119,Faux ,Extra Moisture Shampoo,35068821310,2.28,1.03,20.1,,
120,Faux ,Angled Toothbrush,14647908806,2.26,0.75,12.9,,
121,Faux ,Apricot Shampoo,64272477030,2.98,1.34,11.6,1,
122,Faux ,Childrens Aspirin,36991460919,1.99,0.84,12.5,,
123,Faux ,Buffered Aspirin,31951665282,3.84,1.54,12.4,,
124,Faux ,200 MG Ibuprofen,52691374421,1.21,0.41,13.3,1,
125,Faux ,200 MG Acetominifen,16889345049,2.32,0.88,11.1,,
126,Faux ,HCL Nasal Spray,18083861470,1.61,0.77,20.8,1,
127,Faux ,Dishwasher Detergent,41519598364,1.74,0.85,16.7,1,
128,Faux ,Multi-Symptom Cold Remedy,78049750924,0.53,0.19,14.5,,
129,Faux ,Childrens Cold Remedy,94625384211,1.55,0.67,9.49,1,
130,Faux ,Laundry Detergent,10393303036,2.23,0.83,21.3,1,
131,Faux ,Mint Mouthwash,62304572463,2.4,0.74,19.1,,
132,Denny ,60 Watt Lightbulb,37310257554,1.92,0.71,20,1,
133,Denny ,Plastic Forks,90229007601,0.7,0.29,14,,
134,Denny ,Plastic Spoons,34472458958,2.43,1.09,6.83,1,
135,Denny ,Plastic Knives,24859260916,3.89,1.71,7.74,,
136,Denny ,C-Size Batteries,94438348412,3.87,1.86,17.4,,
137,Denny ,100 Watt Lightbulb,54062916636,3.7,1.78,13.3,1,
138,Denny ,AAA-Size Batteries,26781900525,2.7,1.22,12.3,1,
139,Denny ,Paper Plates,21742104887,1.79,0.84,21.1,,
140,Denny ,Paper Cups,53698855042,1.82,0.8,6.03,,
141,Denny ,75 Watt Lightbulb,96679784655,3.93,1.97,15.7,1,
142,Denny ,Toilet Bowl Cleaner,97874301075,2.32,1.14,8.48,,
143,Denny ,Counter Cleaner,31310037970,2.46,1.03,9.39,,
144,Denny ,Glass Cleaner,67840190529,0.51,0.25,20.3,1,
145,Denny ,25 Watt Lightbulb,84415823817,2.27,0.73,21.2,,
146,Denny ,AA-Size Batteries,90183742642,3.83,1.3,14,1,
147,Denny ,D-Size Batteries,52095012068,0.64,0.25,13,1,
148,Denny ,Paper Towels,27100697159,3.95,1.3,8.94,1,
149,Denny ,Soft Napkins,48249732851,2.49,1.1,17.6,1,
150,Denny ,Scented Tissue,45905964970,3.45,1.55,18.6,1,
151,Denny ,Toilet Paper,36292766928,2.91,1.08,12.3,1,
152,Denny ,Tissues,15871854424,2.89,1.04,17.2,1,
153,Denny ,Scented Toilet Tissue,96475121378,2.72,0.95,18.1,,
154,Denny ,Room Freshener,69194105267,1.96,0.67,16.8,1,
155,Denny ,Frying Pan,64154309630,3.81,1.79,20.6,1,
156,Denny ,Copper Cleaner,96111059784,0.55,0.23,21.5,,
157,Denny ,Bees Wax Candles,60309030413,2.95,1.3,20.2,1,
