region id,Sales District,Country,Sales Region
1,San Francisco,USA , Central West
2,Mexico City,Mexico , Mexico Central
3,Los Angeles,USA , South West
4,Guadalajara,Mexico , Mexico West
5,Vancouver,Canada , Canada West
6,Victoria,Canada , Canada West
7,San Diego,USA , South West
18,Seattle,USA , North West
22,Portland,USA , North West
23,Salem,USA , North West
24,Orizaba,Mexico , Mexico Central
25,Hidalgo,Mexico , Mexico Central
26,Marida,Mexico , Mexico South
27,Camacho,Mexico , Mexico Central
28,Acapulco,Mexico , Mexico West
47,Los Angeles,USA , South West
76,Bremerton,USA , North West
78,Bellingham,USA , North West
84,Tacoma,USA , North West
87,Spokane,USA , North West
88,Walla Walla,USA , North West
89,Yakima,USA , North West
106,Mexico City,Mexico , Mexico Central
