id,transaction_date,stock_date,product_key,customer_key,Store_key,quantity
1,1/1/1997,12/31/1996,869,3449,6,5
2,1/1/1997,12/31/1996,1472,3449,6,3
3,1/1/1997,12/28/1996,76,3449,6,4
4,1/1/1997,12/26/1996,320,3449,6,3
5,1/1/1997,12/25/1996,4,3449,6,4
6,1/1/1997,12/30/1996,952,3449,6,4
7,1/1/1997,12/31/1996,1222,3449,6,4
8,1/1/1997,12/30/1996,517,7859,6,4
9,1/1/1997,12/27/1996,1359,7859,6,4
10,1/1/1997,12/31/1996,357,106,6,4
11,1/1/1997,12/27/1996,1426,106,6,5
12,1/1/1997,12/26/1996,190,106,6,4
13,1/1/1997,12/28/1996,367,106,6,4
14,1/1/1997,12/29/1996,250,106,6,5
15,1/1/1997,12/26/1996,600,106,6,4
16,1/1/1997,12/29/1996,702,8248,6,5
17,1/1/1997,12/27/1996,786,8248,6,3
18,1/1/1997,12/30/1996,536,8248,6,4
19,1/1/1997,12/27/1996,1285,8248,6,4
20,1/1/1997,12/29/1996,596,8248,6,3
21,1/1/1997,12/27/1996,846,1906,6,2
22,1/1/1997,12/31/1996,769,1906,6,4
23,1/1/1997,12/26/1996,586,1906,6,3
24,1/1/1997,12/28/1996,1135,1906,6,3
25,1/1/1997,12/25/1996,1046,1906,6,2
26,1/1/1997,12/25/1996,170,1906,6,4
27,1/1/1997,12/26/1996,885,5802,6,4
28,1/1/1997,12/28/1996,236,5802,6,3
29,1/1/1997,12/30/1996,1039,5802,6,3
30,1/1/1997,12/25/1996,603,5802,6,2
31,1/1/1997,12/29/1996,616,4825,6,4
32,1/1/1997,12/30/1996,1432,4825,6,4
33,1/1/1997,12/30/1996,544,4825,6,2
34,1/1/1997,12/28/1996,920,4825,6,2
35,1/1/1997,12/30/1996,1349,4825,6,3
36,1/1/1997,12/30/1996,1093,5262,6,4
37,1/1/1997,12/28/1996,417,5262,6,2
38,1/1/1997,12/26/1996,887,5262,6,5
39,1/1/1997,12/27/1996,1449,5262,6,3
40,1/1/1997,12/26/1996,494,5262,6,4
41,1/1/1997,12/28/1996,1070,5262,6,2
42,1/1/1997,12/27/1996,657,2571,6,2
43,1/1/1997,12/25/1996,967,2571,6,4
44,1/1/1997,12/26/1996,1483,2200,6,2
45,1/1/1997,12/25/1996,48,2200,6,3
46,1/1/1997,12/26/1996,830,9068,6,3
47,1/1/1997,12/27/1996,1179,9068,6,3
